SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
50,2,4,19,119,Iowa,Lyon County,11581,11581,11567,11715,11770,11684,11695,11745,-14,148,55,-86,11,50,47,184,149,161,169,162,49,106,120,124,91,99,-2,78,29,37,78,63,0,1,2,2,2,2,-10,71,24,-105,-64,-16,-10,72,26,-103,-62,-14,-2,-2,0,-20,-5,1,161,161,161,165,155,162,162,15.80620222,12.68895039,13.72900145,14.45741905,13.8225256,9.105746929,10.21928891,10.57388932,7.784764105,8.447098976,6.700455287,2.469661486,3.155112134,6.672654947,5.375426621,0.085903273,0.170321482,0.170546602,0.171093717,0.170648464,6.099132377,2.043857782,-8.953696598,-5.474998931,-1.365187713,6.18503565,2.214179263,-8.783149996,-5.303905214,-1.194539249
50,2,4,19,121,Iowa,Madison County,15679,15679,15734,15738,15644,15473,15611,15753,55,4,-94,-171,138,142,62,160,172,160,151,154,45,154,127,166,122,142,17,6,45,-6,29,12,1,8,5,5,5,5,37,-6,-143,-183,104,109,38,2,-138,-178,109,114,0,-4,-1,13,0,16,192,192,201,190,190,191,191,10.16776818,10.96169779,10.28376772,9.715609317,9.820175998,9.786476868,8.093811739,10.66940901,7.849697594,9.054967479,0.381291307,2.867886049,-0.385641289,1.865911723,0.765208519,0.508388409,0.318654006,0.321367741,0.321708918,0.318836883,-0.381291307,-9.113504557,-11.76205932,6.69154549,6.950644051,0.127097102,-8.794850551,-11.44069158,7.013254407,7.269480934
50,2,4,19,123,Iowa,Mahaska County,22381,22381,22401,22506,22411,22395,22342,22324,20,105,-95,-16,-53,-18,75,306,248,288,275,277,30,222,234,240,218,222,45,84,14,48,57,55,2,9,9,12,12,12,-25,11,-118,-67,-107,-109,-23,20,-109,-55,-95,-97,-2,1,0,-9,-15,24,659,659,663,671,685,683,686,13.62816487,11.04258967,12.85542115,12.29407426,12.4031702,9.887100007,10.41921767,10.71285096,9.745847956,9.940446872,3.741064867,0.623371997,2.142570192,2.5482263,2.462723324,0.400828379,0.400739141,0.535642548,0.536468695,0.537321453,0.489901352,-5.254135405,-2.990670892,-4.783512529,-4.880669861,0.89072973,-4.853396264,-2.455028344,-4.247043834,-4.343348408
50,2,4,19,125,Iowa,Marion County,33309,33309,33231,33311,33312,33068,33257,33294,-78,80,1,-244,189,37,84,385,335,381,385,381,101,312,325,356,320,322,-17,73,10,25,65,59,6,13,11,12,14,14,-70,-20,-17,-262,133,-51,-64,-7,-6,-250,147,-37,3,14,-3,-19,-23,15,1693,1693,1669,1599,1441,1471,1471,11.57163897,10.05658707,11.47936125,11.60949868,11.44986552,9.377535992,9.756390436,10.72612233,9.649453449,9.676789229,2.194102973,0.300196629,0.753238927,1.960045232,1.773076287,0.390730666,0.330216292,0.361554685,0.422163588,0.420729967,-0.601124102,-0.510334269,-7.893943959,4.01055409,-1.532659164,-0.210393436,-0.180117977,-7.532389274,4.432717678,-1.111929197
50,2,4,19,127,Iowa,Marshall County,40648,40648,40694,40993,41092,41085,40896,40746,46,299,99,-7,-189,-150,146,538,552,591,534,535,139,459,460,499,453,468,7,79,92,92,81,67,36,157,159,166,194,197,2,76,-153,-284,-447,-430,38,233,6,-118,-253,-233,1,-13,1,19,-17,16,1375,1375,1333,1409,1391,1335,1338,13.17223059,13.44947311,14.38358665,13.02740879,13.10599936,11.23801829,11.20789426,12.14451732,11.05134116,11.46468729,1.934212298,2.241578851,2.239069326,1.976067625,1.64131207,3.843940896,3.874033015,4.040059871,4.732803942,4.825947429,1.860761198,-3.727843089,-6.911909658,-10.90496578,-10.53379388,5.704702095,0.146189925,-2.871849788,-6.172161842,-5.707846452
50,2,4,19,129,Iowa,Mills County,15059,15059,15056,15010,14846,14854,14754,14844,-3,-46,-164,8,-100,90,30,157,152,155,152,138,18,143,157,152,120,125,12,14,-5,3,32,13,2,1,0,0,0,0,-12,-59,-159,10,-127,87,-10,-58,-159,10,-127,87,-5,-2,0,-5,-5,-10,608,608,606,608,607,608,608,10.44369055,10.18220793,10.43771044,10.26749527,9.324954389,9.51240604,10.51714898,10.23569024,8.10591732,8.446516657,0.931284507,-0.33494105,0.202020202,2.161577952,0.878437732,0.066520322,0,0,0,0,-3.924698996,-10.6511254,0.673400673,-8.578762497,5.878775593,-3.858178674,-10.6511254,0.673400673,-8.578762497,5.878775593
50,2,4,19,131,Iowa,Mitchell County,10776,10772,10806,10718,10747,10725,10788,10832,34,-88,29,-22,63,44,48,120,115,123,135,140,40,134,133,139,116,122,8,-14,-18,-16,19,18,2,9,11,11,13,13,28,-83,37,-19,34,2,30,-74,48,-8,47,15,-4,0,-1,2,-3,11,247,247,237,237,239,234,234,11.1503438,10.71511763,11.45678092,12.55055083,12.95097132,12.45121725,12.39226648,12.94709389,10.78417701,11.28584644,-1.300873444,-1.677148847,-1.490312966,1.766373821,1.665124884,0.836275785,1.024924295,1.024590164,1.208571561,1.202590194,-7.71232113,3.44747263,-1.769746647,3.160879468,0.185013876,-6.876045345,4.472396925,-0.745156483,4.36945103,1.38760407
50,2,4,19,133,Iowa,Monona County,9243,9243,9234,9255,9136,9091,8979,8979,-9,21,-119,-45,-112,0,21,77,84,94,80,80,20,144,145,162,155,149,1,-67,-61,-68,-75,-69,1,2,4,4,6,6,-7,76,-59,9,-45,71,-6,78,-55,13,-39,77,-4,10,-3,10,2,-8,200,200,198,200,201,202,202,8.329276867,9.134902942,10.31436879,8.854454898,8.909678138,15.57682947,15.76858246,17.77582707,17.15550636,16.59427553,-7.247552599,-6.633679517,-7.461458276,-8.301051467,-7.684597394,0.216344854,0.434995378,0.43890931,0.664084117,0.66822586,8.221104441,-6.416181828,0.987545948,-4.98063088,7.907339347,8.437449294,-5.98118645,1.426455259,-4.316546763,8.575565208
50,2,4,19,135,Iowa,Monroe County,7970,7970,7984,8040,8059,7974,7965,7973,14,56,19,-85,-9,8,21,105,72,91,85,88,7,123,77,108,115,89,14,-18,-5,-17,-30,-1,2,3,2,3,3,3,1,76,23,-73,23,6,3,79,25,-70,26,9,-3,-5,-1,2,-5,0,122,122,121,122,122,120,120,13.10534199,8.944654948,11.35158735,10.66566284,11.04279081,15.35197204,9.565811541,13.47221356,14.43001443,11.16827707,-2.246630055,-0.621156594,-2.120626208,-3.76435159,-0.125486259,0.374438343,0.248462637,0.374228154,0.376435159,0.376458778,9.485771343,2.857320331,-9.106218424,2.886002886,0.752917556,9.860209686,3.105782968,-8.73199027,3.262438045,1.129376333
50,2,4,19,137,Iowa,Montgomery County,10740,10740,10702,10658,10563,10434,10438,10234,-38,-44,-95,-129,4,-204,27,106,121,106,118,121,52,147,144,148,164,133,-25,-41,-23,-42,-46,-12,0,0,0,1,1,1,-12,-11,-74,-88,41,-180,-12,-11,-74,-87,42,-179,-1,8,2,0,8,-13,213,213,217,206,201,209,209,9.925093633,11.40379812,10.09668048,11.30701418,11.70665635,13.76404494,13.57146223,14.09725199,15.71483327,12.86764706,-3.838951311,-2.167664106,-4.00057151,-4.407819088,-1.160990712,0,0,0.095251703,0.095822154,0.096749226,-1.029962547,-6.974223646,-8.382149831,3.928708317,-17.41486068,-1.029962547,-6.974223646,-8.286898128,4.024530471,-17.31811146
